Year,Month,Day,Hour,Minute,DNI,DHI,Wind Speed,Temperature,GHI,PoA Irradiance (W/m^2),kW Generated (1000 kW Array)
2016,1,1,0,0,0.0,0.0,2.8,4.0,0.0,0.0,0.0
2016,1,1,0,15,0.0,0.0,2.8,3.5,0.0,0.0,0.0
2016,1,1,0,30,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,0,45,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,1,0,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,1,15,0.0,0.0,2.85,3.0,0.0,0.0,0.0
2016,1,1,1,30,0.0,0.0,2.9,3.0,0.0,0.0,0.0
2016,1,1,1,45,0.0,0.0,2.95,3.0,0.0,0.0,0.0
2016,1,1,2,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
2016,1,1,2,15,0.0,0.0,3.05,3.0,0.0,0.0,0.0
2016,1,1,2,30,0.0,0.0,3.1,3.0,0.0,0.0,0.0
2016,1,1,2,45,0.0,0.0,3.15,3.0,0.0,0.0,0.0
2016,1,1,3,0,0.0,0.0,3.2,3.0,0.0,0.0,0.0
2016,1,1,3,15,0.0,0.0,3.25,2.5,0.0,0.0,0.0
2016,1,1,3,30,0.0,0.0,3.3,2.0,0.0,0.0,0.0
2016,1,1,3,45,0.0,0.0,3.35,2.0,0.0,0.0,0.0
2016,1,1,4,0,0.0,0.0,3.4,2.0,0.0,0.0,0.0
2016,1,1,4,15,0.0,0.0,3.45,2.0,0.0,0.0,0.0
2016,1,1,4,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,4,45,0.0,0.0,3.55,2.0,0.0,0.0,0.0
2016,1,1,5,0,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,15,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,30,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,45,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,6,0,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,6,15,0.0,0.0,3.55,2.0,0.0,0.0,0.0
2016,1,1,6,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,6,45,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,0,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,15,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,45,175.0,15.0,3.55,2.5,30.5,71.66,0.0
2016,1,1,8,0,350.0,30.0,3.6,3.0,61.0,154.15,107.12
2016,1,1,8,15,447.5,38.5,3.65,3.5,100.5,206.46,160.48
2016,1,1,8,30,545.0,47.0,3.7,4.0,140.0,264.03,212.58
2016,1,1,8,45,603.5,53.0,3.75,4.5,181.0,307.89,252.81
2016,1,1,9,0,662.0,59.0,3.8,5.0,222.0,353.2,293.27
2016,1,1,9,15,700.5,63.0,3.8,5.5,260.5,388.39,324.4
2016,1,1,9,30,739.0,67.0,3.8,6.0,299.0,421.56,352.94
2016,1,1,9,45,766.5,70.0,3.8,6.5,333.0,449.43,376.34
2016,1,1,10,0,794.0,73.0,3.8,7.0,367.0,475.74,397.78
2016,1,1,10,15,811.5,75.0,3.75,7.0,395.5,494.11,412.91
2016,1,1,10,30,829.0,77.0,3.7,7.0,424.0,510.21,425.82
2016,1,1,10,45,840.5,79.0,3.65,7.5,445.5,520.76,433.18
2016,1,1,11,0,852.0,81.0,3.6,8.0,467.0,528.66,438.12
2016,1,1,11,15,859.5,82.0,3.5,8.0,481.5,530.7,438.85
2016,1,1,11,30,867.0,83.0,3.4,8.0,496.0,529.92,437.14
2016,1,1,11,45,869.5,83.5,3.3,8.5,503.0,523.27,429.79
2016,1,1,12,0,872.0,84.0,3.2,9.0,510.0,513.85,420.06
2016,1,1,12,15,872.0,84.0,3.1,9.0,509.5,499.98,407.33
2016,1,1,12,30,872.0,84.0,3.0,9.0,509.0,483.48,392.23
2016,1,1,12,45,872.0,82.5,2.9,9.0,501.5,462.92,373.58
2016,1,1,13,0,872.0,81.0,2.8,9.0,494.0,439.91,352.54
2016,1,1,13,15,864.0,79.5,2.65,9.0,478.5,411.44,326.65
2016,1,1,13,30,856.0,78.0,2.5,9.0,463.0,381.15,298.82
2016,1,1,13,45,844.5,76.5,2.45,9.0,440.5,348.07,268.43
2016,1,1,14,0,833.0,75.0,2.4,9.0,418.0,313.74,236.53
2016,1,1,14,15,814.5,72.5,2.35,9.0,389.0,275.63,201.41
2016,1,1,14,30,796.0,70.0,2.3,9.0,360.0,237.21,166.07
2016,1,1,14,45,769.5,67.0,2.25,9.0,325.5,196.83,130.02
2016,1,1,15,0,743.0,64.0,2.2,9.0,291.0,157.31,96.33
2016,1,1,15,15,703.0,60.0,2.15,8.5,252.0,116.72,65.6
2016,1,1,15,30,663.0,56.0,2.1,8.0,213.0,75.66,39.65
2016,1,1,15,45,601.5,50.0,2.05,8.0,172.0,38.33,29.2
2016,1,1,16,0,540.0,44.0,2.0,8.0,131.0,32.38,23.5
2016,1,1,16,15,438.5,35.5,2.05,7.5,92.0,26.98,18.09
2016,1,1,16,30,337.0,27.0,2.1,7.0,53.0,21.39,10.46
2016,1,1,16,45,168.5,13.5,2.15,7.0,26.5,13.27,0.0
2016,1,1,17,0,0.0,0.0,2.2,7.0,0.0,0.0,0.0
2016,1,1,17,15,0.0,0.0,2.25,6.5,0.0,0.0,0.0
2016,1,1,17,30,0.0,0.0,2.3,6.0,0.0,0.0,0.0
2016,1,1,17,45,0.0,0.0,2.4,6.0,0.0,0.0,0.0
2016,1,1,18,0,0.0,0.0,2.5,6.0,0.0,0.0,0.0
2016,1,1,18,15,0.0,0.0,2.55,6.0,0.0,0.0,0.0
2016,1,1,18,30,0.0,0.0,2.6,6.0,0.0,0.0,0.0
2016,1,1,18,45,0.0,0.0,2.65,6.0,0.0,0.0,0.0
2016,1,1,19,0,0.0,0.0,2.7,6.0,0.0,0.0,0.0
2016,1,1,19,15,0.0,0.0,2.65,6.0,0.0,0.0,0.0
2016,1,1,19,30,0.0,0.0,2.6,6.0,0.0,0.0,0.0
2016,1,1,19,45,0.0,0.0,2.6,6.0,0.0,0.0,0.0
2016,1,1,20,0,0.0,0.0,2.6,6.0,0.0,0.0,0.0
2016,1,1,20,15,0.0,0.0,2.55,5.5,0.0,0.0,0.0
2016,1,1,20,30,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,20,45,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,21,0,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,21,15,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,21,30,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,21,45,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,22,0,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,22,15,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,22,30,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,22,45,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,23,0,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,1,23,15,0.0,0.0,2.45,5.0,0.0,0.0,0.0
2016,1,1,23,30,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,1,23,45,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,0,0,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,0,15,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,0,30,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,0,45,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,1,0,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,1,15,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,1,30,0.0,0.0,2.4,5.0,0.0,0.0,0.0
2016,1,2,1,45,0.0,0.0,2.45,5.0,0.0,0.0,0.0
2016,1,2,2,0,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,2,2,15,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,2,2,30,0.0,0.0,2.5,5.0,0.0,0.0,0.0
2016,1,2,2,45,0.0,0.0,2.55,5.0,0.0,0.0,0.0
2016,1,2,3,0,0.0,0.0,2.6,5.0,0.0,0.0,0.0
2016,1,2,3,15,0.0,0.0,2.6,5.0,0.0,0.0,0.0
2016,1,2,3,30,0.0,0.0,2.6,5.0,0.0,0.0,0.0
2016,1,2,3,45,0.0,0.0,2.65,5.0,0.0,0.0,0.0
2016,1,2,4,0,0.0,0.0,2.7,5.0,0.0,0.0,0.0
2016,1,2,4,15,0.0,0.0,2.7,5.0,0.0,0.0,0.0
2016,1,2,4,30,0.0,0.0,2.7,5.0,0.0,0.0,0.0
2016,1,2,4,45,0.0,0.0,2.75,5.0,0.0,0.0,0.0
2016,1,2,5,0,0.0,0.0,2.8,5.0,0.0,0.0,0.0
2016,1,2,5,15,0.0,0.0,2.9,4.5,0.0,0.0,0.0
2016,1,2,5,30,0.0,0.0,3.0,4.0,0.0,0.0,0.0
2016,1,2,5,45,0.0,0.0,3.1,4.0,0.0,0.0,0.0
2016,1,2,6,0,0.0,0.0,3.2,4.0,0.0,0.0,0.0
